iter	RMSE
0	1959.745268
1	1909.57242
2	1861.570802
3	1816.275751
4	1772.948685
5	1729.614936
6	1687.03706
7	1648.352201
8	1609.325268
9	1570.062283
10	1532.712448
11	1497.619567
12	1462.46839
13	1431.500134
14	1401.207839
15	1370.563968
16	1340.08943
17	1310.763069
18	1282.014892
19	1254.398582
20	1228.946758
21	1203.95187
22	1180.304143
23	1158.448173
24	1136.155433
25	1114.35928
26	1092.973352
27	1073.019137
28	1054.194116
29	1036.018414
30	1017.956715
31	999.4773609
32	983.4955826
33	966.976175
34	951.982903
35	937.9220804
36	922.9958033
37	909.130877
38	894.5844579
39	881.1832186
40	868.698833
41	857.0261688
42	845.495171
43	833.318962
44	822.5954802
45	812.8839287
46	802.6806198
47	793.4045739
48	783.3702729
49	774.6103059
50	765.6805914
51	757.5617267
52	749.6279697
53	741.5252073
54	734.6699604
55	727.405306
56	720.3432876
57	714.0682591
58	707.9713933
59	701.8182821
60	695.0481838
61	689.5893417
62	684.1444998
63	678.4577045
64	672.6724356
65	667.3985641
66	662.8942345
67	657.9955929
68	653.8585286
69	649.355225
70	645.493414
71	641.0343528
72	637.3217104
73	633.8352246
74	630.5094102
75	626.3055754
76	623.2167016
77	619.3749733
78	616.10106
79	613.0490185
80	610.0144055
81	606.8104122
82	604.1722404
83	601.7233629
84	599.2625709
85	596.410874
86	593.8733434
87	591.4778165
88	588.7916488
89	586.6915194
90	584.3118075
91	581.6014091
92	579.52098
93	577.7328596
94	575.4918822
95	573.6205955
96	571.9012599
97	570.4166042
98	568.3783021
99	566.7383116
100	564.5437316
101	562.4770881
102	560.9461512
103	559.2057727
104	557.8275616
105	556.5510453
106	555.1030668
107	553.5776145
108	551.8628871
109	550.5428895
110	549.2175038
111	547.7268986
112	546.3503543
113	545.2323576
114	544.0276915
115	542.6528485
116	541.318235
117	540.3193356
118	539.2856981
119	538.2071778
120	537.2283396
121	536.0459454
122	534.859729
123	533.9683004
124	533.151102
125	532.3915213
126	531.360754
127	530.3350375
128	529.6428894
129	528.5335411
130	527.893435
131	526.9572864
132	526.1606436
133	525.4152071
134	524.8081518
135	523.7167619
136	522.8795557
137	522.255005
138	521.6440187
139	520.6633888
140	520.037203
141	519.4573442
142	518.7744862
143	518.1415566
144	517.5279666
145	517.0394814
146	516.3889785
147	515.9257279
148	515.2386575
149	514.5198589
150	513.9944533
151	513.2692295
152	512.6680374
153	511.888286
154	511.3148538
155	510.8000911
156	510.3557087
157	509.6119807
158	508.9792172
159	508.3811888
160	507.7207622
161	507.1110449
162	506.4958037
163	505.7614089
164	505.4077115
165	504.8480795
166	504.5491772
167	503.8691441
168	503.1235882
169	502.6394539
170	502.3090455
171	501.4926249
172	500.8879507
173	500.3472162
174	499.9484219
175	499.3507517
176	498.9334864
177	498.5644746
178	498.0948834
179	497.5437805
180	497.2503261
181	496.7400669
182	496.24225
183	495.8259193
184	495.518025
185	495.2167858
186	494.9010208
187	494.370228
188	494.0217128
189	493.7143725
190	493.2052697
191	492.8341761
192	492.4306595
193	492.1435661
194	491.7102309
195	491.4277401
196	490.9498334
197	490.1938962
198	489.8999423
199	489.6406289
200	489.3228012
201	489.0229299
202	488.6416141
203	487.9076048
204	487.6553311
205	487.3576595
206	487.0597747
207	486.7629332
208	485.9988985
209	485.7283753
210	485.3305887
211	484.9592321
212	484.4224834
213	483.9576776
214	483.4621885
215	483.159275
216	482.651904
217	482.1794172
218	481.6656461
219	481.2735735
220	480.8862061
221	480.4602103
222	480.2177984
223	479.9812964
224	479.7668629
225	479.4554008
226	478.9098374
227	478.4634105
228	478.1915216
229	477.934342
230	477.4171838
231	476.988969
232	476.8113073
233	476.465676
234	476.1513929
235	475.9155453
236	475.512741
237	475.2175596
238	474.9314711
239	474.5818486
240	474.1505593
241	473.9614116
242	473.751321
243	473.3244094
244	473.0780264
245	472.8533264
246	472.6475287
247	472.3741697
248	472.0128098
249	471.6962376
250	471.3792966
251	471.1863274
252	470.7504186
253	470.5151092
254	470.1751006
255	469.8626944
256	469.5924184
257	469.2194503
258	469.0265508
259	468.5335796
260	468.3059589
261	468.0276121
262	467.5624124
263	467.2522783
264	467.0039524
265	466.7336862
266	466.3714957
267	466.2293471
268	465.8735195
269	465.5908392
270	465.265315
271	465.08979
272	464.8625838
273	464.6757512
274	464.3634659
275	463.9706054
276	463.654854
277	463.3966488
278	463.0707573
279	463.0171158
280	462.8541184
281	462.5827277
282	462.3515612
283	462.000912
284	461.7641623
285	461.4498934
286	461.1546882
287	460.9674107
288	460.6939868
289	460.3823725
290	460.185783
291	460.0169833
292	459.7609897
293	459.5788652
294	459.3335348
295	459.1862792
296	458.7133066
297	458.458423
298	458.2806224
299	457.9598271
300	457.6263526
301	457.4036908
302	457.2352533
303	456.8766664
304	456.6248602
305	456.4701757
306	456.1666262
307	455.9069724
308	455.5524796
309	455.3815817
310	454.9096096
311	454.7543897
312	454.4804717
313	454.3015374
314	454.1107848
315	453.6537408
316	453.454918
317	453.2446813
318	453.0466127
319	452.8206984
320	452.6385997
321	452.4020371
322	452.131527
323	451.7725091
324	451.5445548
325	451.3821885
326	451.0790018
327	450.9238552
328	450.6715813
329	450.5782921
330	450.4255203
331	450.2181794
332	449.9240494
333	449.7857893
334	449.6123436
335	449.4708872
336	449.2046317
337	448.9006826
338	448.6997101
339	448.6307335
340	448.2526438
341	448.03873
342	447.7479531
343	447.6225971
344	447.3434323
345	447.075019
346	446.8313858
347	446.6182687
348	446.4139668
349	446.1509218
350	445.9494448
351	445.7521519
352	445.5255266
353	445.4062317
354	445.1647274
355	444.9512531
356	444.4605172
357	444.2552938
358	444.0515918
359	443.8513339
360	443.6740572
361	443.2843733
362	442.9148546
363	442.728283
364	442.3657027
365	442.2136999
366	441.9454419
367	441.7041792
368	441.4445794
369	441.2970754
370	441.0115
371	440.8265419
372	440.5956356
373	440.4169809
374	440.2583813
375	440.0382909
376	439.8416398
377	439.5962752
378	439.4441877
379	439.2634693
380	439.1327951
381	438.864686
382	438.7096161
383	438.4503106
384	438.1137582
385	437.9195648
386	437.6073073
387	437.3993932
388	437.192365
389	437.0610372
390	436.9012352
391	436.7244979
392	436.5567468
393	436.4355535
394	436.273934
395	436.0291301
396	435.8509953
397	435.5081098
398	435.3312248
399	435.185804
400	435.0218108
401	434.824046
402	434.6941163
403	434.5012517
404	434.348278
405	434.1929826
406	434.021996
407	433.8731355
408	433.7385922
409	433.4111598
410	433.2231994
411	433.1185732
412	432.9107966
413	432.7306867
414	432.5588736
415	432.3957945
416	432.2719636
417	432.0127019
418	431.8817614
419	431.7274031
420	431.5731792
421	431.4010361
422	431.2599534
423	431.0092635
424	430.8571815
425	430.5842625
426	430.38504
427	430.2196937
428	429.9421581
429	429.6552841
430	429.5516355
431	429.3332491
432	429.189826
433	428.9896546
434	428.8538627
435	428.5994616
436	428.3934235
437	428.3056082
438	428.1834108
439	428.0155165
440	427.8901239
441	427.6870532
442	427.5198726
443	427.3744568
444	427.2005468
445	427.0486229
446	426.8326213
447	426.5996426
448	426.4505915
449	426.2990252
450	426.1443309
451	425.9400699
452	425.7259014
453	425.5417404
454	425.436277
455	425.1952306
456	425.0824236
457	424.9316538
458	424.8475159
459	424.7239442
460	424.6069048
461	424.5296676
462	424.3872687
463	424.2465279
464	424.0974525
465	423.9422869
466	423.7703521
467	423.6356269
468	423.525515
469	423.3136156
470	422.9709343
471	422.8398769
472	422.7006509
473	422.5571956
474	422.438846
475	422.2572791
476	422.0892378
477	421.984923
478	421.8383021
479	421.6598107
480	421.4860547
481	421.3605732
482	421.1948728
483	421.0300362
484	420.5950126
485	420.4676794
486	420.2708972
487	420.0599044
488	419.9320515
489	419.7356961
490	419.546879
491	419.3229783
492	419.1697378
493	418.8241456
494	418.7071017
495	418.5671983
496	418.3735996
497	418.1099183
498	417.9695501
499	417.8585918
500	417.2576091
501	417.1370239
502	416.9581378
503	416.7813099
504	416.6094865
505	416.3942351
506	416.2877191
507	416.1028163
508	415.8533153
509	415.7359656
510	415.5717477
511	415.4331261
512	415.2408516
513	414.8460457
514	414.7408382
515	414.646692
516	414.5067821
517	414.3646085
518	414.2320683
519	414.0531223
520	413.9444317
521	413.7472997
522	413.5141604
523	413.4235174
524	413.3081467
525	413.1646696
526	412.9619106
527	412.8451299
528	412.4495906
529	412.3580077
530	412.2307147
531	412.1231299
532	411.8458673
533	411.6355859
534	411.4990784
535	411.3604541
536	411.2080368
537	410.6686169
538	410.5334781
539	410.3791778
540	410.2823964
541	410.1158669
542	409.9657873
543	409.8341219
544	409.7191054
545	409.3608776
546	409.2338554
547	409.0357504
548	408.9200248
549	408.8165189
550	408.7290395
551	408.6204051
552	408.4363062
553	408.3396273
554	408.2202642
555	408.1227356
556	408.0121276
557	407.8955707
558	407.764911
559	407.6597396
560	407.5372112
561	407.3871771
562	407.2707401
563	407.1369248
564	406.9964492
565	406.8881671
566	406.3831903
567	406.3047353
568	406.1731843
569	405.9730941
570	405.747027
571	405.6256719
572	405.5074073
573	405.4028954
574	405.240637
575	405.1249217
576	405.0021614
577	404.8263777
578	404.5275549
579	404.4003278
580	404.2771697
581	404.1131337
582	403.9499028
583	403.8703906
584	403.7669161
585	403.5949947
586	403.2960535
587	403.1813055
588	403.0778391
589	402.9157241
590	402.8255013
591	402.6413281
592	402.5868359
593	402.4207399
594	402.0999332
595	401.9770261
596	401.8593979
597	401.7050502
598	401.5429686
599	401.420265
600	401.3205
601	401.2739645
602	401.1847351
603	401.0582807
604	400.9155486
605	400.7585098
606	400.6342876
607	400.5328257
608	400.4180944
609	400.3073501
610	400.2015672
611	400.0945665
612	399.7885001
613	399.6831845
614	399.5977054
615	399.4629353
616	399.3597903
617	399.2552469
618	399.161189
619	399.0970208
620	398.9757975
621	398.8841543
622	398.7376238
623	398.6517655
624	398.5570358
625	398.2625634
626	398.1587766
627	398.0718684
628	397.9663817
629	397.7975768
630	397.7174766
631	397.6042803
632	397.4978933
633	397.3817183
634	397.0972251
635	397.0283769
636	396.954572
637	396.8226702
638	396.6174698
639	396.4902283
640	396.2281296
641	396.1634469
642	396.0890793
643	396.0236029
644	395.9096976
645	395.8057271
646	395.7286076
647	395.6207731
648	395.518252
649	395.4276203
650	395.323845
651	395.2555269
652	395.1473998
653	394.8824976
654	394.7530558
655	394.5606419
656	394.4728813
657	394.4092781
658	394.2495347
659	394.1468986
660	394.0042164
661	393.9286296
662	393.8625114
663	393.6970596
664	393.6146079
665	393.4773693
666	393.2112701
667	393.1511718
668	393.0980657
669	392.9325587
670	392.6487223
671	392.5572023
672	392.4822104
673	392.303289
674	392.1553234
675	391.9347838
676	391.8060697
677	391.7138924
678	391.4772709
679	391.3190314
680	391.1496943
681	391.0744215
682	390.9511895
683	390.8491112
684	390.7538522
685	390.666278
686	390.5236648
687	390.4498766
688	390.3392235
689	390.2474916
690	390.127414
691	389.9869499
692	389.8419761
693	389.7056201
694	389.5674415
695	389.4330299
696	389.1992349
697	389.0706077
698	388.98867
699	388.8908287
700	388.8436746
701	388.7361641
702	388.6217331
703	388.4600094
704	388.3640915
705	388.2945339
706	388.1591193
707	388.0680221
708	387.9457912
709	387.7536363
710	387.516634
