iter	Passed	Remaining
0	11	11982
1	25	12503
2	34	11454
3	67	16761
4	86	17219
5	99	16478
6	109	15536
7	120	15002
8	130	14415
9	134	13271
10	137	12381
11	139	11523
12	141	10777
13	145	10260
14	147	9708
15	151	9311
16	155	8977
17	159	8709
18	161	8352
19	163	8024
20	165	7732
21	167	7466
22	170	7230
23	172	7004
24	174	6797
25	176	6605
26	178	6429
27	180	6263
28	182	6108
29	186	6038
30	189	5914
31	192	5826
32	200	5884
33	210	5985
34	218	6028
35	233	6255
36	246	6427
37	254	6439
38	256	6321
39	260	6251
40	263	6155
41	266	6076
42	269	6004
43	272	5930
44	275	5840
45	277	5753
46	280	5678
47	282	5593
48	288	5600
49	295	5618
50	297	5543
51	304	5551
52	307	5501
53	317	5553
54	325	5585
55	333	5620
56	335	5549
57	337	5481
58	339	5414
59	343	5374
60	345	5314
61	348	5271
62	353	5250
63	355	5197
64	357	5143
65	359	5090
66	361	5036
67	363	4984
68	365	4934
69	367	4885
70	369	4838
71	371	4792
72	375	4765
73	377	4720
74	379	4677
75	382	4651
76	385	4615
77	387	4576
78	391	4559
79	393	4528
80	396	4493
81	398	4460
82	400	4424
83	402	4388
84	404	4353
85	406	4321
86	408	4289
87	410	4257
88	412	4226
89	416	4206
90	418	4175
91	420	4146
92	422	4118
93	424	4092
94	426	4066
95	430	4055
96	434	4048
97	436	4021
98	439	3996
99	441	3969
100	443	3943
101	445	3919
102	447	3897
103	449	3875
104	451	3851
105	454	3835
106	457	3819
107	459	3797
108	462	3783
109	465	3765
110	467	3747
111	470	3729
112	472	3709
113	474	3687
114	476	3666
115	478	3646
116	480	3626
117	482	3606
118	484	3587
119	486	3568
120	489	3554
121	491	3536
122	493	3518
123	495	3502
124	498	3486
125	500	3470
126	503	3460
127	506	3448
128	508	3431
129	510	3414
130	512	3398
131	514	3381
132	516	3368
133	519	3354
134	520	3338
135	523	3323
136	525	3307
137	527	3292
138	529	3281
139	531	3267
140	534	3253
141	536	3239
142	538	3227
143	540	3213
144	542	3201
145	546	3194
146	548	3184
147	550	3171
148	552	3158
149	554	3144
150	557	3132
151	559	3118
152	561	3106
153	563	3093
154	565	3080
155	567	3068
156	569	3057
157	571	3045
158	575	3043
159	577	3033
160	580	3024
161	582	3012
162	585	3005
163	587	2995
164	590	2989
165	592	2979
166	595	2968
167	597	2958
168	599	2947
169	601	2936
170	603	2925
171	605	2914
172	607	2904
173	611	2901
174	613	2890
175	615	2880
176	618	2877
177	621	2868
178	623	2858
179	626	2855
180	629	2849
181	632	2841
182	634	2832
183	636	2822
184	638	2812
185	640	2802
186	644	2800
187	646	2791
188	648	2781
189	651	2778
190	654	2770
191	656	2762
192	659	2758
193	662	2750
194	664	2742
195	666	2733
196	668	2725
197	670	2716
198	672	2707
199	674	2699
200	676	2690
201	678	2681
202	680	2672
203	682	2664
204	684	2656
205	686	2647
206	688	2639
207	692	2637
208	695	2630
209	697	2623
210	701	2624
211	704	2618
212	706	2611
213	709	2604
214	711	2596
215	713	2588
216	715	2580
217	717	2573
218	719	2565
219	721	2557
220	723	2550
221	726	2546
222	728	2539
223	730	2532
224	733	2528
225	736	2521
226	739	2518
227	742	2513
228	744	2507
229	748	2504
230	750	2497
231	752	2490
232	754	2483
233	756	2476
234	758	2469
235	760	2462
236	762	2455
237	764	2448
238	766	2441
239	768	2434
240	770	2427
241	774	2424
242	776	2419
243	780	2417
244	784	2417
245	786	2411
246	788	2404
247	790	2397
248	792	2391
249	794	2384
250	796	2377
251	798	2371
252	800	2364
253	802	2358
254	809	2364
255	812	2360
256	816	2361
257	819	2356
258	822	2353
259	825	2348
260	827	2344
261	830	2338
262	832	2332
263	834	2326
264	836	2319
265	838	2314
266	840	2308
267	842	2302
268	844	2296
269	848	2294
270	850	2288
271	853	2283
272	855	2279
273	858	2274
274	860	2268
275	862	2262
276	864	2256
277	866	2251
278	868	2245
279	870	2239
280	872	2233
281	874	2227
282	876	2221
283	879	2216
284	881	2211
285	883	2205
286	885	2199
287	890	2201
288	892	2196
289	898	2198
290	900	2194
291	902	2188
292	904	2183
293	906	2177
294	908	2172
295	910	2166
296	912	2161
297	915	2155
298	917	2149
299	920	2147
300	922	2141
301	924	2136
302	928	2135
303	930	2130
304	932	2125
305	935	2122
306	939	2119
307	941	2115
308	943	2110
309	945	2105
310	948	2100
311	950	2094
312	952	2090
313	954	2085
314	956	2080
315	958	2075
316	961	2072
317	963	2067
318	966	2062
319	970	2062
320	972	2057
321	975	2054
322	978	2050
323	980	2046
324	983	2041
325	985	2036
326	987	2031
327	989	2026
328	991	2022
329	993	2016
330	995	2011
331	997	2006
332	999	2001
333	1001	1997
334	1003	1991
335	1005	1987
336	1007	1981
337	1009	1977
338	1012	1973
339	1014	1968
340	1017	1965
341	1021	1964
342	1023	1960
343	1025	1956
344	1028	1951
345	1030	1947
346	1032	1942
347	1034	1938
348	1036	1933
349	1038	1928
350	1040	1923
351	1043	1920
352	1045	1916
353	1048	1912
354	1052	1912
355	1055	1908
